"year","league","sum_in","sum_out"
"1992","english_premier_league","54.759","48.174"
"1992","spanish_primera_division","7.347","6.3"
"1992","german_bundesliga_1","26.483","27.288"
"1992","italian_serie_a","112.458","56.503"
"1992","french_ligue_1","19.114","20.421"
"1992","english_championship","29.042","18.937"
"1992","portugese_liga_nos","2.25","2.25"
"1992","dutch_eredivisie","4.537","7.203"
"1992","russian_premier_liga","0","0.36"
"1993","english_premier_league","75.476","50.613"
"1993","spanish_primera_division","22.995","3.645"
"1993","german_bundesliga_1","33.679","22.717"
"1993","italian_serie_a","65.505","28.315"
"1993","french_ligue_1","9.707","14.85"
"1993","english_championship","34.883","41.814"
"1993","portugese_liga_nos","0.9","4.05"
"1993","dutch_eredivisie","9.195","29.867"
"1993","russian_premier_liga","0.122","0"
"1994","english_premier_league","121.492","81.405"
"1994","spanish_primera_division","37.432","30.447"
"1994","german_bundesliga_1","49.253","28.843"
"1994","italian_serie_a","29.438","32.73"
"1994","french_ligue_1","1.035","2.615"
"1994","english_championship","35.482","35.438"
"1994","portugese_liga_nos","1.58","14.33"
"1994","dutch_eredivisie","10.976","7.345"
"1994","russian_premier_liga","0","0.72"
"1995","english_premier_league","175.16","107.978"
"1995","spanish_primera_division","33.453","38.07"
"1995","german_bundesliga_1","70.691","45.299"
"1995","italian_serie_a","83.59","61.856"
"1995","french_ligue_1","4.365","10.58"
"1995","english_championship","63.601","62.214"
"1995","portugese_liga_nos","0.9","4.14"
"1995","dutch_eredivisie","13.202","12.69"
"1995","russian_premier_liga","0.059","1.8"
"1996","english_premier_league","160.281","97.924"
"1996","spanish_primera_division","159.54","47.72"
"1996","german_bundesliga_1","46.249","34.873"
"1996","italian_serie_a","97.616","87.381"
"1996","french_ligue_1","15.595","45.914"
"1996","english_championship","69.264","56.874"
"1996","portugese_liga_nos","4.05","15.345"
"1996","dutch_eredivisie","8.618","31.489"
"1996","russian_premier_liga","1.013","2.43"
"1997","english_premier_league","224.459","118.774"
"1997","spanish_primera_division","165.26","88.75"
"1997","german_bundesliga_1","57.816","52.231"
"1997","italian_serie_a","176.96","143.761"
"1997","french_ligue_1","40.359","76.896"
"1997","english_championship","94.769","74.217"
"1997","portugese_liga_nos","9.766","19.24"
"1997","dutch_eredivisie","34.655","33.425"
"1997","russian_premier_liga","0.808","1.919"
"1998","english_premier_league","339.636","187.369"
"1998","spanish_primera_division","139.588","88.138"
"1998","german_bundesliga_1","67.136","58.087"
"1998","italian_serie_a","281.287","153.657"
"1998","french_ligue_1","54.828","86.83"
"1998","english_championship","107.105","77.404"
"1998","portugese_liga_nos","12.29","24.528"
"1998","dutch_eredivisie","29.971","71.828"
"1998","russian_premier_liga","1.44","6.435"
"1999","english_premier_league","281.704","201.041"
"1999","spanish_primera_division","197.699","194.56"
"1999","german_bundesliga_1","136.497","51.522"
"1999","italian_serie_a","424.405","240.125"
"1999","french_ligue_1","104.63","72.694"
"1999","english_championship","104.078","101.596"
"1999","portugese_liga_nos","9.455","16.74"
"1999","dutch_eredivisie","44.029","70.559"
"1999","russian_premier_liga","1.157","8.6"
"2000","english_premier_league","432.002","301.258"
"2000","spanish_primera_division","346.679","320.499"
"2000","german_bundesliga_1","104.621","46.969"
"2000","italian_serie_a","446.482","210.979"
"2000","french_ligue_1","189.336","153.254"
"2000","english_championship","162.481","60.101"
"2000","portugese_liga_nos","29.97","53.515"
"2000","dutch_eredivisie","43.31","65.895"
"2000","russian_premier_liga","5.831","8.235"
"2001","english_premier_league","515.682","220.572"
"2001","spanish_primera_division","247.273","133.508"
"2001","german_bundesliga_1","165.543","79.973"
"2001","italian_serie_a","683.019","642.143"
"2001","french_ligue_1","135.628","149.921"
"2001","english_championship","175.488","72.105"
"2001","portugese_liga_nos","35.55","30.513"
"2001","dutch_eredivisie","47.765","63.925"
"2001","russian_premier_liga","11.135","6.764"
"2002","english_premier_league","302.798","114.165"
"2002","spanish_primera_division","129.035","47.324"
"2002","german_bundesliga_1","108.812","55.041"
"2002","italian_serie_a","298.825","326.248"
"2002","french_ligue_1","62.885","85.55"
"2002","english_championship","88.854","94.278"
"2002","portugese_liga_nos","14.016","36.813"
"2002","dutch_eredivisie","35.173","25.9"
"2002","russian_premier_liga","22.576","6.742"
"2003","english_premier_league","385.71","162.919"
"2003","spanish_primera_division","129.795","109.085"
"2003","german_bundesliga_1","75.996","19.023"
"2003","italian_serie_a","151.866","160.732"
"2003","french_ligue_1","96.742","109.12"
"2003","english_championship","69.399","100.553"
"2003","portugese_liga_nos","32.067","42.157"
"2003","dutch_eredivisie","27.473","53.326"
"2003","russian_premier_liga","50.35","10.153"
"2004","english_premier_league","455.343","163.671"
"2004","spanish_primera_division","219.348","83.814"
"2004","german_bundesliga_1","77.15","56.522"
"2004","italian_serie_a","187.106","250.12"
"2004","french_ligue_1","127.052","206.397"
"2004","english_championship","21.04","73.243"
"2004","portugese_liga_nos","55.828","125.379"
"2004","dutch_eredivisie","25.008","63.726"
"2004","russian_premier_liga","82.52","22.776"
"2005","english_premier_league","450.98","209.789"
"2005","spanish_primera_division","211.217","180.982"
"2005","german_bundesliga_1","97.752","82.983"
"2005","italian_serie_a","166.129","139.306"
"2005","french_ligue_1","160.452","142.358"
"2005","english_championship","48.141","95.995"
"2005","portugese_liga_nos","33.108","74.141"
"2005","dutch_eredivisie","34.264","68.878"
"2005","russian_premier_liga","118.973","44.209"
"2006","english_premier_league","487.641","225.347"
"2006","spanish_primera_division","353.555","121.892"
"2006","german_bundesliga_1","130.271","97.626"
"2006","italian_serie_a","230.526","201.14"
"2006","french_ligue_1","186.297","180.47"
"2006","english_championship","90.259","127.618"
"2006","portugese_liga_nos","22.095","42.863"
"2006","dutch_eredivisie","56.873","79.936"
"2006","russian_premier_liga","84.428","61.018"
"2007","english_premier_league","843.087","423.977"
"2007","spanish_primera_division","514.4","277.374"
"2007","german_bundesliga_1","244.375","143.284"
"2007","italian_serie_a","396.102","259.012"
"2007","french_ligue_1","227.835","311.045"
"2007","english_championship","115.843","183.931"
"2007","portugese_liga_nos","65.247","164.03"
"2007","dutch_eredivisie","103.89","155.585"
"2007","russian_premier_liga","113.838","60.84"
"2008","english_premier_league","770.393","479.09"
"2008","spanish_primera_division","352.103","335.101"
"2008","german_bundesliga_1","164.485","104.847"
"2008","italian_serie_a","536.815","321.14"
"2008","french_ligue_1","232.232","253.094"
"2008","english_championship","67.138","96.173"
"2008","portugese_liga_nos","66.259","73.301"
"2008","dutch_eredivisie","85.427","119.09"
"2008","russian_premier_liga","126.464","125.948"
"2009","english_premier_league","534.429","468.954"
"2009","spanish_primera_division","454.533","221.742"
"2009","german_bundesliga_1","221.365","120.287"
"2009","italian_serie_a","490.333","466.544"
"2009","french_ligue_1","243.427","189.615"
"2009","english_championship","76.432","145.146"
"2009","portugese_liga_nos","75.539","90.788"
"2009","dutch_eredivisie","48.682","72.729"
"2009","russian_premier_liga","105.118","76.86"
"2010","english_premier_league","629.038","305.642"
"2010","spanish_primera_division","282.82","279.658"
"2010","german_bundesliga_1","192.416","188.307"
"2010","italian_serie_a","421.624","356.334"
"2010","french_ligue_1","138.524","193.448"
"2010","english_championship","53.179","64.148"
"2010","portugese_liga_nos","83.727","155.934"
"2010","dutch_eredivisie","39.385","68.396"
"2010","russian_premier_liga","196.444","81.154"
"2011","english_premier_league","576.251","387.418"
"2011","spanish_primera_division","359.664","282.82"
"2011","german_bundesliga_1","200.18","171.692"
"2011","italian_serie_a","560.247","491.141"
"2011","french_ligue_1","222.24","165.929"
"2011","english_championship","69.09","128.083"
"2011","portugese_liga_nos","105.438","122.302"
"2011","dutch_eredivisie","62.225","111.346"
"2011","russian_premier_liga","124.943","36.45"
"2012","english_premier_league","697.591","336.42"
"2012","spanish_primera_division","147.528","196.96"
"2012","german_bundesliga_1","260.202","158.756"
"2012","italian_serie_a","509.151","490.501"
"2012","french_ligue_1","234.375","209.759"
"2012","english_championship","90.298","106.863"
"2012","portugese_liga_nos","51.05","167.526"
"2012","dutch_eredivisie","44.69","103.774"
"2012","russian_premier_liga","297.405","75.699"
"2013","english_premier_league","832.128","362.618"
"2013","spanish_primera_division","404.725","450.113"
"2013","german_bundesliga_1","274.881","200.741"
"2013","italian_serie_a","511.462","499.647"
"2013","french_ligue_1","372.232","219.46"
"2013","english_championship","43.651","74.553"
"2013","portugese_liga_nos","92.081","169.339"
"2013","dutch_eredivisie","35.763","143.554"
"2013","russian_premier_liga","290.519","291.114"
"2014","english_premier_league","1097.517","606.53"
"2014","spanish_primera_division","483.001","517.344"
"2014","german_bundesliga_1","331.468","186.621"
"2014","italian_serie_a","422.033","395.754"
"2014","french_ligue_1","156.703","209.42"
"2014","english_championship","129.473","150.829"
"2014","portugese_liga_nos","109.733","217.96"
"2014","dutch_eredivisie","38.386","125.236"
"2014","russian_premier_liga","79.611","56.99"
"2015","english_premier_league","1316.778","629.405"
"2015","spanish_primera_division","551.648","412.448"
"2015","german_bundesliga_1","426.735","478.823"
"2015","italian_serie_a","649.212","594.185"
"2015","french_ligue_1","327.324","433.455"
"2015","english_championship","184.564","194.862"
"2015","portugese_liga_nos","86.789","295.225"
"2015","dutch_eredivisie","52.053","141.093"
"2015","russian_premier_liga","36.009","78.776"
"2016","english_premier_league","1493.833","785.161"
"2016","spanish_primera_division","473.667","443.22"
"2016","german_bundesliga_1","607.658","493.21"
"2016","italian_serie_a","779.588","744.51"
"2016","french_ligue_1","329.738","351.384"
"2016","english_championship","318.821","317.523"
"2016","portugese_liga_nos","111.16","265.963"
"2016","dutch_eredivisie","48.719","149.591"
"2016","russian_premier_liga","108.931","159.935"
"2017","english_premier_league","1956.939","1212.412"
"2017","spanish_primera_division","801.654","787.232"
"2017","german_bundesliga_1","651.865","576.986"
"2017","italian_serie_a","922.881","849.663"
"2017","french_ligue_1","709.615","628.615"
"2017","english_championship","256.532","285.501"
"2017","portugese_liga_nos","86.482","298.934"
"2017","dutch_eredivisie","88.881","212.708"
"2017","russian_premier_liga","138.025","60.8"
"2018","english_premier_league","1490.555","488.73"
"2018","spanish_primera_division","909.838","776.58"
"2018","german_bundesliga_1","505.003","522.307"
"2018","italian_serie_a","1163.441","869.236"
"2018","french_ligue_1","597.005","845.205"
"2018","english_championship","207.823","314.212"
"2018","portugese_liga_nos","96.303","299.506"
"2018","dutch_eredivisie","83.004","99.015"
"2018","russian_premier_liga","114.871","141.48"
